TransMorphDiff_NCC_SEflowreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9749531482784304,0.8120890086343663,0.6891832669224647,0.8590973622772029,0.3572241142522854,0.7714326673106583,0.8215113988811454,0.848475467756036,0.8218303002057628,0.8000785923960324,0.7833784096794236,0.8364137907960998,0.7330996476387089,0.8971479183530295,0.8281891161211515,0.7998137783989437,0.7111745779679594,0.7004291785370886,0.8313147263197168,0.32727266776860586,0.2349775763679141,0.8109151866776697,0.6747630737305085,0.8175347094104344,0.46497461456878564,0.720246270253316,0.8258988425511913,0.8813917291677458,0.7880814825356013,0.7528594763553315,0.7516879201008053,0.8147454445643236,0.8112256066405928,0.6501766738503415,0.8338546779570519,0.47761186901315383,0.27420736697337306,0.0,0.0033030552989012775,0.0,0.478873231005753,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_1,0.9735126018898685,0.8039121517619497,0.6825458256513167,0.8206470023664088,0.19963031054287783,0.7929511231670187,0.8254944354446708,0.8595150099430391,0.8211629881492588,0.7750269100148821,0.697122155972787,0.6595149222970386,0.8340521266940707,0.9072651702564812,0.8067402886455253,0.746132384615439,0.6148007560967705,0.5802161215277131,0.8320166673912521,0.0,0.22559652683734788,0.8118351403082963,0.689333237141824,0.7658217752544064,0.12440191189151656,0.7977643266626563,0.8636541396470465,0.8908103543571412,0.7377725389065733,0.7566520707673863,0.6913907271686079,0.798386356653171,0.8047091394166456,0.5786666628088889,0.8187680291712472,0.041666657986112916,0.2710779053246755,0.0,0.0017094016947914385,0.0,0.32861188870787855,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_2,0.9752451556079414,0.8257139003145889,0.7060640749887558,0.8718291688378019,0.5513392795609455,0.8150352918856378,0.8576170763719455,0.8801802330703858,0.8470618413560921,0.7824171204548709,0.7556524087288139,0.8006843421698702,0.8401231199708074,0.9035190233358341,0.8412044365121982,0.806803080502782,0.7099530085008414,0.6188557564959246,0.8712777082377722,0.4637680487292683,0.3599221754871384,0.8101266218853513,0.6857423963509014,0.8468432840076161,0.5824175770840881,0.8464617166918613,0.8766222950510153,0.8922333025734462,0.8261205553501796,0.7182771941266956,0.7417840355101242,0.8274463762379187,0.8234126963705042,0.6602620029671441,0.8578066006603363,0.0,0.29368029466839873,0.0,0.0,0.0,0.4663677025478094,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_3,0.9706152344298262,0.8082042464711326,0.6602039600254958,0.8385456951936425,0.40552016554649506,0.7476359958832348,0.7407561936566084,0.852499070031073,0.8007497104948822,0.7835051539306338,0.7557139845759825,0.7752847746797211,0.7233942786605854,0.8969539631538673,0.8068742871184255,0.7894876538638501,0.7278810381863158,0.6548956608756368,0.8464060522518655,0.17391300567108572,0.3021582709659611,0.7988761556822994,0.6539098571891299,0.8778009909967633,0.3185840667688487,0.7921074928478131,0.8332344450481508,0.8623294484614807,0.7949682261769314,0.7018469650819288,0.7101727432071385,0.7947161720861156,0.7477522458847347,0.596752364027386,0.8343537114474833,0.0,0.3629893216904548,0.0,0.005899704956738398,0.0,0.08026755584389446,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_4,0.9738437242379953,0.815734461998083,0.6813961242615048,0.8870938970857194,0.4914004853636304,0.803315934662783,0.8528158058967404,0.8437602353729882,0.8498317862678848,0.8235606254324218,0.8083548647537578,0.7911764676794982,0.832268660645613,0.9047568333502384,0.8403264733413881,0.8277497751919662,0.7053140070408249,0.5997322583685927,0.8321267845508444,0.38709671175859484,0.3915275969735071,0.8199170922718549,0.6929095688706379,0.8730933073817874,0.6194852884238484,0.830334817091439,0.8531068443306403,0.8639301691266061,0.8480777171888407,0.8031481643606222,0.8183836571527895,0.8390136318774923,0.809457577720563,0.6519706035272504,0.854533217138224,0.146341427721603,0.5328685232426866,0.0,0.007136485217337331,0.0,0.5908256772325564,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_5,0.9726068293295742,0.8096891547692718,0.6768473528017662,0.9016077168002122,0.3388116265636963,0.7817720858149346,0.8283649502516615,0.8736758167936691,0.8371431687223634,0.79919934419143,0.7393341535404829,0.8325722962136674,0.7764763280222637,0.8900751531557966,0.809134422807006,0.7704141989041,0.6364683276911004,0.6421136858117399,0.8465181892104019,0.3076922485207214,0.35718890807744097,0.8104893941009882,0.6768005739193027,0.9119902755442392,0.49852506639343563,0.7865591750523494,0.8400169600589129,0.8696864951369314,0.8525896405403758,0.8316101763628426,0.7845709766870349,0.8391173317399462,0.8168873324584378,0.6802189157136911,0.8475418683440931,0.2909090380165385,0.4658418479513618,0.0,0.003978779814464325,0.0,0.5670497975660959,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_6,0.9678416776394233,0.801407436030952,0.628318311391555,0.9121666216265757,0.48526522116635346,0.7257333208277659,0.8242136790589378,0.8335549640771526,0.7898276063212769,0.7396318465961057,0.7896608944992628,0.8291023270633281,0.8061818167160331,0.8703126131735851,0.8274344389992349,0.7638709657706555,0.7096466059711241,0.6134831391743467,0.8231546365494179,0.2903225338189461,0.3977432976181714,0.7889334814451237,0.6081596539119944,0.893504901687039,0.32905982554423263,0.7603326175733874,0.8493213613942144,0.8585043983024778,0.8026083103419449,0.7218196000425693,0.7553097328422351,0.8207255708176135,0.7954768908665759,0.6506506441376312,0.8100502505161715,0.07547168387326719,0.4244214651677919,0.0,0.003634161092464197,0.0,0.1367521328560646,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_7,0.9766780654773427,0.819604517775967,0.7115773231979473,0.839083736888564,0.46594273972415856,0.8152817813491046,0.8524319977103911,0.8904212903294789,0.8308048330794486,0.7764937733794735,0.7411930466388139,0.8020030785747184,0.8226471675615914,0.8841941776742873,0.8284428786889252,0.7786885223106308,0.7170915139277412,0.5847953167519189,0.8506168071987117,0.31999993600001275,0.36215112074778,0.8208006704414967,0.7072286338009978,0.8850736606322762,0.34676434253034993,0.8375634515109253,0.8644233776597512,0.8945005606652634,0.8364179781165445,0.7679309387749739,0.7427314909779342,0.8400916600178423,0.8229007612648835,0.653219544971144,0.8517608508888608,0.29999995000000834,0.4910105363235553,0.0,0.008255933867327824,0.0,0.496527769157504,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_8,0.9744421180850295,0.8252643614203111,0.7014521449253698,0.841840011442344,0.5639097691361864,0.8124571847993736,0.8531974847461844,0.8611324056176035,0.83613090105527,0.7947342751879725,0.7971014473499966,0.795644280233596,0.7826986738768653,0.894321187023523,0.8333333324049317,0.8120256835609291,0.6773831750378199,0.6420497314088189,0.8631310362100136,0.3999999384615479,0.3616830764397218,0.8164502065744123,0.696995259720023,0.7789165439850861,0.6005267726029256,0.8384162803517561,0.8691941863530955,0.8921117409332593,0.8251579077742804,0.7874810693715487,0.7792462046518692,0.8433249361780102,0.8428686520470893,0.6923669954327911,0.8547780277889597,0.05128203813281073,0.3004219383930638,0.0,0.0,0.0,0.5417376398341118,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_9,0.9709743176070559,0.8266591731401364,0.6670833213233046,0.9028975887793359,0.3272727218632608,0.8191933662106534,0.8545027538754647,0.8830650037022969,0.8526354398280109,0.8246905022727985,0.7401330360529201,0.7159709586389702,0.8141914923488937,0.9107745980568654,0.8115906278525393,0.8086592150535641,0.5706241174536644,0.6710050566087848,0.8353646345301052,0.673469319033743,0.39365917837741626,0.8193596757606695,0.661548116468648,0.8976327776156904,0.4649999941875001,0.8387192849326226,0.8403825506554514,0.8811119989660422,0.8232758611351226,0.7958477501207821,0.7817634788665506,0.8255328998777423,0.8186124245789567,0.659056311574914,0.8324335328181384,0.07407404663924198,0.38870056277570303,0.0,0.006334125048819279,0.0,0.525458237770708,0.0,0.0,0.0,0.0,0.0,tensor(0.)
