TransMorphDiff_NCC_Sim3flowreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9749714987274753,0.811281491984818,0.6881971701801407,0.8633382876351586,0.3504672856253822,0.7779052534112755,0.8205915137585166,0.8411214948903835,0.8227795471487052,0.8125963012205352,0.7868535505392616,0.8268251249948355,0.745501283430588,0.8945202587059439,0.8245284698091281,0.7883211660270282,0.7274036704090613,0.6853146793241724,0.8315079288254552,0.3157894182825582,0.24411508069646834,0.8074622220558447,0.6701619753277561,0.8215952323773457,0.46804123228823474,0.7113313635968428,0.8231260036732552,0.8903763848949982,0.7918232364469815,0.7632472468739097,0.7608155127776839,0.8180425524952829,0.81512057176815,0.66382978252603,0.8405977576582478,0.492307616568059,0.2876254156553059,0.0,0.0016528925483232022,0.0,0.5087719208987382,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_1,0.9734193424327939,0.804175637672475,0.6817411462228846,0.8265509128675764,0.19014084172287252,0.7977340571192125,0.8240509330545847,0.8581231075387875,0.8047529696000588,0.7832581035837028,0.7025862055200114,0.6600189902183333,0.8369148103666255,0.9018825912796167,0.8045025968784851,0.747000253390349,0.6228070145087377,0.5774058529087377,0.8269346381285454,0.0,0.25423728544240165,0.8112974762264673,0.6890977474957538,0.7771260990736998,0.12231404756505707,0.7973600230158204,0.8643073785937209,0.8836241878634212,0.7671933076589297,0.7513935333578651,0.6683310914762223,0.795865632340471,0.8012968948557275,0.5568627414584134,0.802955664342657,0.040816318200751385,0.2842430454763847,0.0,0.0017108639716778104,0.0,0.3333333249158251,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_2,0.9755849964805824,0.8256873168187145,0.706786785421803,0.8733502899297643,0.5317018850756187,0.8201564836821296,0.8599213300591729,0.8743504954686169,0.8489911311541047,0.7884397811493986,0.7813928454385779,0.8100607076753654,0.834763555167494,0.8973187977133693,0.8508634214015035,0.8203335104348211,0.7156521708015122,0.6313173104281913,0.8662762783274683,0.457142791836744,0.3477406645605043,0.8086734217717462,0.6841948409726485,0.8530579819611742,0.5837937331142382,0.8343526571813957,0.87814288464548,0.8953949736110407,0.8335040972931557,0.7485191160489832,0.7649945453517051,0.8248720127721075,0.8273291904911075,0.6872852174631854,0.8563933143641729,0.058823512110731724,0.3416898761217282,0.0,0.0,0.0,0.4751131114227803,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_3,0.9707316177290478,0.8069185949270515,0.6587986900973976,0.8377931941208054,0.40652173471172026,0.7492481679128196,0.7397533342363579,0.8460548880542159,0.8103572966724182,0.7996068964534916,0.7651403233485117,0.7729302618587074,0.7289586287946775,0.8945090938894045,0.8148427191421711,0.7944214855515973,0.7444698674886732,0.6552529131886933,0.8492043438164484,0.14545451900826925,0.29629629401005947,0.7971870775068683,0.6520463444388291,0.8753009543896634,0.3369565171609169,0.7805910214766907,0.8301201452367568,0.8692776322197403,0.7998492262848986,0.7309354999732531,0.7377014847441878,0.8043862744920532,0.7676073600794912,0.6164109365149371,0.8372213128714632,0.0,0.39258830114309035,0.0,0.007866273275651196,0.0,0.07947019604403326,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_4,0.974092088330474,0.8157074000426033,0.6828395660517288,0.8832913515804667,0.5068322918405926,0.7976773722864339,0.8488018423327447,0.8462167907663429,0.8484786175488501,0.8250087928024896,0.8022837792296812,0.7811572671322059,0.827612078732673,0.9027671906360873,0.8396929319940247,0.8100591692010083,0.6998144686463285,0.5806451573051121,0.8336696446298937,0.40740733196160517,0.38919582327074387,0.8168102453320522,0.690836978627215,0.8704325766537216,0.6069829847181469,0.826917784930774,0.8522510661639137,0.8704897257365231,0.8443027551991951,0.8039072477598072,0.8284023650484279,0.8411403235205598,0.7970728939007236,0.6470588192041523,0.8551442719759601,0.1428571088435455,0.5087000997507671,0.0,0.003574620164659337,0.0,0.6182495229376253,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_5,0.9726834470387853,0.8096951507803146,0.6773871121850926,0.9012279187577477,0.3232077725005131,0.7721607526477933,0.8165899755399316,0.871642472927396,0.837811162586017,0.8117177572902977,0.7339404362935258,0.8421604592497104,0.7764993861040407,0.8878217120103484,0.8037496212037601,0.7682596911083267,0.644621814349594,0.6396181333363713,0.8420946820362905,0.31999993600001275,0.34031745815671455,0.8084722372940643,0.6743535549020808,0.9071149697257982,0.4665718283560195,0.7686737553758648,0.8314922074975002,0.8838759592382144,0.8423005557180988,0.8337636890448191,0.794238681084777,0.8394360673199177,0.8230244866876433,0.6777777723985892,0.8499946985582586,0.3103447740784872,0.4656652335532981,0.0,0.003981420013394691,0.0,0.5886792341758635,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_6,0.9685245019751356,0.8018868568638109,0.6317519734437436,0.9105964354967999,0.46007604125403,0.7331022926411828,0.8269180413119405,0.8242174441215231,0.7870967732354269,0.7555976024854435,0.7604267682821854,0.8289328910095355,0.8113695075463834,0.8677065902254895,0.8301955426737648,0.7691911366069264,0.7040913382298223,0.6357615823867375,0.8177981643873411,0.2941176038062347,0.4248633850760698,0.7881361697361756,0.6106010473861967,0.8930186760736535,0.3285420910827301,0.7597694718868346,0.8486949740771045,0.8582394146462142,0.8007444703298178,0.7182649365104562,0.6989000900575159,0.8286418008192806,0.8165424361227641,0.6829268223279794,0.8196661821302013,0.06896550535077493,0.4384093092220693,0.0,0.001211387030821399,0.0,0.13836477552312026,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_7,0.9767725392230487,0.81890607527523,0.7077073525237165,0.8418389264134057,0.4373795718942238,0.8134162730726091,0.8504915328076244,0.8841290599061865,0.832440902661041,0.8054964531866167,0.7471962599364573,0.787316315594291,0.8164878584293472,0.889075663707135,0.8277290199904063,0.7862507198548505,0.7002518862290013,0.5958158945956828,0.8511048915843821,0.3214285140306225,0.3655030775804033,0.8187584605686375,0.7053838303829943,0.8815224060460702,0.35903614025257663,0.8310465258728182,0.864776154044764,0.9047275946878415,0.8324263029110813,0.7680643091549609,0.7250917974905953,0.8385556541942151,0.8303138534567138,0.679186223167557,0.846642095775346,0.27586202140309973,0.47794117354202714,0.0,0.008238928854387963,0.0,0.49566723577699767,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_8,0.974615399475508,0.8250134095176503,0.7000601115775473,0.8439964064058307,0.5695110204265482,0.8163018309786618,0.8538280037508423,0.8572207376889164,0.8443201157330089,0.8042915980416787,0.8073790110029253,0.7916360939411735,0.7887678105851471,0.8936738500432341,0.8322637742506487,0.808922803613376,0.7099853131057807,0.6346300485535465,0.8648163110888204,0.3999999384615479,0.38831614786669977,0.8107266514014037,0.6918143194960514,0.7859140153915467,0.577854666281534,0.8351257513096999,0.8699522970797969,0.8982762285069822,0.8448528421296406,0.788511748555421,0.7812882665165607,0.8455268181085571,0.8278508749236544,0.6872700464512874,0.8490388231727867,0.045454535123969284,0.30445752477327565,0.0,0.0,0.0,0.5220338894570528,0.0,0.0,0.0,0.0,0.0,tensor(0.)
p_9,0.9710161381687281,0.8274671762188361,0.6651617887027356,0.9024133145901765,0.3161397617946795,0.8175441762793749,0.8507884371232977,0.8800435540015464,0.8639670212609517,0.8328602143373246,0.7661862749705609,0.7203918044506152,0.8210905794928108,0.910186321374877,0.8181371334257347,0.8100910973717901,0.6175115178916519,0.658339451444971,0.8410367588045365,0.6444443728395141,0.4002650735568915,0.81816761507511,0.661569053575772,0.8953215053304178,0.4433617485583222,0.834234074352726,0.8398049996570628,0.8932580855068524,0.8213761147651383,0.8079773114921075,0.8089045607033182,0.8155475377452025,0.8166528789174169,0.6762917881740745,0.8323723220424503,0.07142854591837645,0.4202978465510323,0.0,0.0031746031494079116,0.0,0.5325203143796684,0.0,0.0,0.0,0.0,0.0,tensor(0.)
